거래일,법정동,지번,단지명,전용면적,층,거래금액(만원),건축년도,거래유형,중개사소재지,해제사유발생일,매수자구분,매도자구분,기타_aptDong,기타_aptSeq,기타_bonbun,기타_bubun,기타_cdealDay,기타_cdealType,기타_dealingGbn,기타_landCd,기타_landLeaseholdGbn,기타_rgstDate,기타_roadNm,기타_roadNmBonbun,기타_roadNmBubun,기타_roadNmCd,기타_roadNmSeq,기타_roadNmSggCd,기타_roadNmbCd,기타_sggCd,기타_umdCd,지역,지역코드
2021-11-05,반송동,79,시범다은마을우남퍼스트빌,84.4275,16,73500,2007,,경기 화성시,,,,,41590-966,79,0,,,중개거래,1,N,,동탄중앙로,171,0,3210027,1,41590,0.0,41597,10200,화성시,41597
2021-11-05,영천동,716,동탄역반도유보라아이비파크2.0,84.96,10,72000,2016,,경기 화성시,,,,,41590-1438,716,0,,,중개거래,1,N,,동탄순환대로26길,55,0,4852383,1,41590,,41597,10600,화성시,41597
2021-11-05,청계동,512,동탄역 시범우남퍼스트빌아파트,59.95,10,94500,2015,,경기 화성시,,,,,41590-1342,512,0,,,중개거래,1,N,,동탄대로시범길,276,0,4852353,0,41590,0.0,41597,10500,화성시,41597
2021-11-05,산척동,745,레이크힐 반도유보라 아이비파크 10.2,96.6996,2,61000,2018,,,,,,,41590-1814,745,0,,,직거래,1,N,,동탄순환대로10길,88,0,4852370,1,41590,,41597,11000,화성시,41597
2021-11-02,반송동,106-1,동탄파라곤II,115.21,19,75000,2010,,경기 화성시,,,,,41590-1132,106,1,,,중개거래,1,N,,메타폴리스로,54,0,3210037,1,41590,0.0,41597,10200,화성시,41597
2021-11-01,일원동,743,디에이치자이개포,84.73,11,290000,2021,,,,,,,11680-4988,743,0,,,직거래,1,N,,영동대로,22,0,2122002,5,11680,0.0,11680,11400,서울 강남구,11680
2021-11-01,청담동,102-13,청담파라곤Ⅱ2단지,177.06,3,335000,2010,,서울 강남구,,,,,11680-3881,102,13,,,중개거래,1,N,,선릉로190길,68,0,4166482,1,11680,0.0,11680,10400,서울 강남구,11680
2021-11-01,잠실동,19,잠실엘스,119.93,2,299000,2008,,서울 송파구,,,,,11710-6346,19,0,,,중개거래,1,N,,올림픽로,99,0,3123023,1,11710,0.0,11710,10100,서울 송파구,11710
2021-11-01,청계동,533,동탄역시범반도유보라아이비파크1.0,84.9643,17,106000,2015,,경기 화성시,,,,,41590-1425,533,0,,,중개거래,1,N,,동탄대로시범길,168,0,4852353,0,41590,,41597,10500,화성시,41597
2021-11-01,청계동,536,시범반도유보라아이비파크4.0,84.9705,4,119000,2018,,경기 화성시,,,,,41590-1673,536,0,,,중개거래,1,N,,동탄대로시범길,134,0,4852353,0,41590,0.0,41597,10500,화성시,41597
2021-10-30,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,14,58800,2018,,,,,,,41590-1763,744,0,,,,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-10-29,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),59.7731,13,57000,2018,,,,,,,41590-1763,744,0,,,,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-10-29,산척동,744,그린힐 반도유보라 아이비파크 10(1단지),74.1263,17,69500,2018,,,,,,,41590-1763,744,0,23.10.27,O,,1,N,,동탄순환대로12길,85,0,4852372,0,41590,0.0,41597,11000,화성시,41597
2021-10-28,잠실동,44,레이크팰리스,59.97,28,201000,2006,,,,,,,11710-5957,44,0,,,,1,N,,잠실로,88,0,3123015,1,11710,0.0,11710,10100,서울 송파구,11710
2021-10-27,도곡동,527,도곡렉슬,59.9772,13,219000,2006,,,,,,,11680-3623,527,0,,,,1,N,,선릉로,221,0,3122006,8,11680,0.0,11680,11800,서울 강남구,11680
2021-10-25,개포동,1281,디에이치아너힐즈,84.3558,29,265000,2019,,,,,,,11680-4850,1281,0,,,,1,N,,삼성로,11,0,3122005,1,11680,,11680,10300,서울 강남구,11680
2021-10-23,대치동,1027,래미안대치팰리스,84.99,2,321000,2015,,,,,,,11680-4394,1027,0,,,,1,N,,삼성로51길,35,0,4166413,1,11680,0.0,11680,10600,서울 강남구,11680
